date,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-02-25,0 ,49936.0,35369.0,22433.0,20831.0,9950.0,8158.0,36204.0,50890.0,4765.0,6510.0,9291.0,18352.0,27509.0,33400.0,15019.0,14949.0,26622.0,24232.0,6020.0,6684.0,24996.0,25689.0,19763.0,10419.0,57964.0,53746.0,310472.0,309229.0,6:03 AM,Service interruption due to tracks problem at Ayala to Magallanes SB as of 6:03 AM.,South Bound,Ayala Avenue - Magallanes,CAT 4
2017-02-26,0 ,38220.0,22932.0,14034.0,12010.0,7384.0,4512.0,27849.0,33361.0,2642.0,3772.0,5342.0,11783.0,18208.0,23039.0,9787.0,11796.0,18418.0,19306.0,2605.0,4061.0,15481.0,19085.0,9868.0,6880.0,41230.0,37806.0,211068.0,210343.0,10:33 PM,Train unloaded passengers at Magallanes Station NB 10:33pm due to technical problem.,North Bound,Magallanes,CAT 3
2017-02-27,0 ,75475.0,39200.0,32882.0,27818.0,16846.0,11014.0,39203.0,51951.0,7747.0,10067.0,15507.0,29992.0,33362.0,46492.0,19753.0,26592.0,26467.0,30245.0,12229.0,17596.0,36235.0,42310.0,27649.0,19686.0,70605.0,60046.0,413960.0,413009.0,,,,,
2017-02-28,0 ,76649.0,46755.0,35412.0,35084.0,17358.0,13321.0,42018.0,61487.0,9397.0,11231.0,18620.0,31826.0,41372.0,51820.0,23723.0,29777.0,33743.0,35637.0,16295.0,18327.0,41920.0,42584.0,34552.0,20985.0,77253.0,68186.0,468312.0,467020.0,,,,,
2017-03-01,0 ,79134.0,47228.0,37381.0,35226.0,17818.0,13345.0,44430.0,65698.0,9153.0,11552.0,18854.0,33896.0,41536.0,53894.0,24834.0,31045.0,35346.0,36428.0,16194.0,19130.0,42627.0,44074.0,34468.0,21546.0,87302.0,74690.0,489077.0,487752.0,9:17 AM,Train unloaded passengers at Cubao Station SB at 9:17 AM due to technical problem.,South Bound,Cubao,CAT 3
2017-03-02,1 ,78118.0,44849.0,37003.0,34676.0,17299.0,12857.0,43712.0,62198.0,8769.0,11491.0,18056.0,33937.0,39819.0,52569.0,23813.0,30116.0,33950.0,35283.0,15954.0,19001.0,41267.0,43800.0,34167.0,21362.0,80273.0,68972.0,472200.0,471111.0,,,,,
2017-03-03,0 ,80697.0,48333.0,38147.0,35132.0,18077.0,13400.0,46340.0,70229.0,9352.0,11774.0,19450.0,35593.0,41682.0,55133.0,24523.0,29929.0,35458.0,36203.0,16405.0,19376.0,42361.0,45357.0,37957.0,21778.0,85346.0,72113.0,495795.0,494350.0,,,,,
2017-03-04,2 ,54411.0,38019.0,24034.0,23019.0,10755.0,9278.0,38053.0,53969.0,5031.0,6798.0,9992.0,19886.0,30376.0,38193.0,16907.0,17550.0,29878.0,26562.0,8627.0,8503.0,27587.0,27553.0,23120.0,12104.0,60528.0,56845.0,339299.0,338279.0,,,,,
2017-03-05,0 ,38764.0,23501.0,14119.0,12283.0,7698.0,4911.0,28278.0,34263.0,2745.0,3899.0,5284.0,11471.0,19003.0,24120.0,10192.0,11903.0,19524.0,20058.0,2827.0,3946.0,16172.0,19566.0,10334.0,7106.0,42872.0,40126.0,217812.0,217153.0,12:31 PM,Train unloaded passengers at Cub Stn NB 12:31pm due to technical problem.,North Bound,Cubao,CAT 2
2017-03-06,0 ,80666.0,43085.0,37480.0,33044.0,19472.0,12473.0,43282.0,59006.0,8633.0,11453.0,16942.0,32841.0,38203.0,52638.0,21636.0,29808.0,32849.0,36611.0,14293.0,19218.0,36619.0,43896.0,31962.0,22120.0,82158.0,66957.0,464195.0,463150.0,4:47 PM,Signaling problem occurred at both bounds.,South Bound,Quezon Avenue - Santolan Anapolis,CAT 1
