date,holiday,holiday_reason,precip,North Ave entry,North Ave exit,Quezon ave entry,Quezon ave exit,Gma Kamuning Entry,Gma Kamuning Exit,Cubao Entry,Cubao Exit,Santolan Entry,Santolan Exit,Ortigas entry,Ortigas Exit,Shaw Blvd entry,Shaw Blvd exit,Boni Ave entry,Boni Ave exit,Guadalupe Entry,Gudalupe Exit,Buendia Entry,Buedia exit,Ayale Entry,Ayala Exit,Magallanes Entry,Magallanes Exit,Taft Entry,Taft Exit,Total entry,Total Exit,time,reason,dir,station,cat_type
2017-03-09,,,0,77186,45026,36931,34366,17613,13216,42162,60765,8590,11270,17740,33224,39316,52343,23213,29737,33952,35511,15670,19242,40918,43451,33952,21143,80314,67137,467557,466431,2:53 PM,Normal operations North - Taft Stations SB/NB resumed.,North Bound,Guadalupe,CAT 1
2017-03-10,,,0,80764,48606,38230,35132,18236,13555,44910,67691,9297,11793,18944,34833,42597,55750,24295,29819,35389,36013,16049,19344,42249,45851,37078,22091,85334,71449,493372,491927,,,,,
2017-03-11,,,0,54852,38449,24565,22912,10831,9065,38549,54487,4930,6800,9757,20101,30139,37716,16778,17704,29637,26756,8442,8384,27560,27603,22855,11956,60832,56576,339727,338509,,,,,
2017-03-12,,,0,38272,23573,14126,12230,7336,4964,28393,32045,2796,3953,5233,11504,18670,23607,9708,11452,18789,19998,2824,3965,16149,19533,10113,7153,39958,38152,212367,212129,9:07 AM,Train unloaded passenger due to technical problem.,South Bound,GMA Kamuning,CAT 2
2017-03-13,,,0,79838,40708,37578,33507,18929,12150,42868,58894,8442,11229,17065,33324,38067,52218,21555,29692,31941,35960,14215,19067,36663,43669,31494,22249,81426,66303,460081,458970,1:52 PM,"Service interruption, provisional service implemented from North - Shaw Blvd Stns NB/SB 2PM.",North Bound,Guadalupe,CAT 4
2017-03-14,,,0,76784,41755,36467,32772,17478,12017,41448,58833,8500,10956,17364,32581,38234,53515,21978,28691,31203,32976,14448,19110,37447,41021,31641,21179,75682,61984,448674,447390,4:10 PM,"Train experienced technical problem 4;10pm, unloaded passengers at Santolan Station NB.",North Bound,Ortigas - Santolan Anapolis,CAT 3
2017-03-15,,,0,78352,46286,38035,35228,17954,13090,44831,63238,9071,11481,18865,34624,41180,53375,24631,30549,34673,35604,16266,19336,41650,45285,34080,21886,83009,71545,482597,481527,,,,,
2017-03-16,,,0,79336,45655,38200,34443,18014,12862,44465,62218,8961,11666,18397,34553,40548,53480,24215,30169,33974,35626,15655,19272,40074,44823,33407,21765,81563,69149,476809,475681,1:12 PM,Train unloaded pax at 1:12pm at Magallanes Stn NB due to technical problem.,North Bound,Magallanes,CAT 2
2017-03-17,,,0,81379,48367,38986,34570,18759,13314,47069,68617,9214,11701,19150,36351,41608,55300,24502,29968,35331,36063,16265,19477,41469,46795,36011,21509,85427,71878,495170,493910,7:00 AM,Train unloaded passengers due to technical problem.,North Bound,Boni Avenue,CAT 3
2017-03-18,,,0,55894,38799,25162,23436,11176,9267,39212,57670,4877,6823,10462,20316,31450,38224,17712,17802,30724,26689,8634,8090,28341,28338,24088,12286,61705,60465,349437,348205,,,,,
2017-03-19,,,0,38128,23427,14461,12060,7395,4700,27771,32149,2670,3828,5306,11501,19002,23969,10147,11935,18831,19679,2953,4045,15743,19480,10207,6950,41670,39879,214284,213602,5:16 PM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-03-20,,,0,81143,42519,36816,32634,19047,12211,42995,58389,8422,11014,16817,32644,37872,52113,21630,29786,32315,36194,13749,18935,36172,44209,31697,22221,80303,64617,458978,457486,4:41 PM,"Train experienced technical problem, unloaded passengers at Santolan Station SB 4;48pm",South Bound,Cubao - Santolan Anapolis,CAT 3
2017-03-21,,,0,78885,44772,37332,34368,17895,12546,43035,61744,8486,11197,17742,33186,39097,51981,23357,29548,33468,35058,15275,18857,39709,43634,32732,21619,80101,67715,467114,466225,12:53 PM,Train unloaded pax at Magallanes Stn SB at 12:53pm due to technical problem. ,South Bound,Magallanes,CAT 3
2017-03-22,,,2,77120,44923,37295,34224,17427,12512,42953,61635,8766,11238,18163,32892,39977,52088,23884,29761,33796,35059,15320,18643,39966,43813,33359,21116,82127,71071,470153,468975,6:03 PM,Train experienced technical problem.,North Bound,Quezon Avenue - North Avenue,CAT 3
2017-03-23,,,0,76787,43649,36618,33265,17311,12341,42169,59556,8514,10956,17270,32182,38275,50955,23006,28808,32435,34109,14633,18627,38916,43388,31286,20665,78043,65903,455263,454404,1:12 PM,Train unloaded passengers at Quezon Ave. Station SB at 1:12 PM due to technical problem.,South Bound,Quezon Avenue,CAT 3
2017-03-24,,,0,78916,46961,37372,33640,17664,12650,44319,65946,8833,11067,18321,33618,40528,52999,24371,28768,34429,34236,15207,18662,41263,45099,34040,21362,82309,71299,477572,476307,7:21 AM,Train unloaded passengers at Ayala Station NB at 7:21 AM due to technical problem.,North Bound,Ayala Avenue,CAT 3
2017-03-25,,,0,49718,35082,22623,22169,10179,8897,34686,50593,4584,6158,9225,17451,29940,37787,15777,16705,27290,24636,7928,7761,26534,25654,21842,11343,58832,53338,319158,317574,10:41 AM,Train unloaded passengers due to technical problem.,South Bound,Ayala Avenue,CAT 3
2017-03-26,,,0,37688,23215,13831,11770,7024,4652,27457,31738,2619,3730,5241,11203,18634,23906,9993,11629,18522,19298,2890,3882,15407,18783,9971,6986,41138,38986,210415,209778,,,,,
2017-03-27,,,1,80736,41905,35916,31900,18613,12070,42074,56999,7649,9728,16327,31779,37302,50812,21190,28562,31314,34921,13588,18897,34860,43528,30470,21481,79797,66057,449836,448639,9:00 AM,Train unloaded passengers due to technical problem.,South Bound,Cubao,CAT 3
2017-03-28,,,0,77648,44299,36715,33640,17599,12833,42463,59857,8845,11323,17779,32522,38778,51278,23144,29274,32636,34602,14990,18500,38949,42973,31867,21207,78883,67061,460296,459369,7:54 PM,Train unloaded passengers due to technical problem.,North Bound,Ayala Avenue,CAT 3
2017-03-29,,,0,77038,45001,36804,33472,17007,12507,42453,60406,8655,10879,17578,32556,39161,50772,23628,29159,33048,34245,15015,18444,39641,43423,32035,20986,80110,69240,462173,461090,9:14 AM,Train unloaded passengers at Santolan Stn SB at 9:14am due to technical problem.,South Bound,Santolan Anapolis,CAT 3
2017-03-30,,,0,76988,44066,35905,33109,16590,12259,40910,59361,8149,10918,17220,31888,38493,50189,22994,28561,32276,33338,14957,18029,39139,43018,31694,20738,77196,65756,452511,451230,10:33 AM,Train unloaded passengers at Ortigas Station SB at 10:33 AM due to technical problem.,South Bound,Ortigas,CAT 2
